behavior_id,tactic_id,relationship
SB052,TA0001,FEND_OFF
SB052,TA0003,FEND_OFF
SB052,TA0006,FEND_OFF
SB052,TA0007,FEND_OFF
SB052,TA0009,FEND_OFF
SB052,TA0040,FEND_OFF
SB055,TA0042,FEND_OFF
SB055,TA0001,FEND_OFF
SB055,TA0002,FEND_OFF
SB055,TA0006,FEND_OFF
SB055,TA0009,FEND_OFF
SB055,TA0010,FEND_OFF
SB055,TA0040,FEND_OFF
SB056,TA0001,FEND_OFF
SB056,TA0005,FEND_OFF
SB056,TA0010,FEND_OFF
SB058,TA0001,FEND_OFF
SB058,TA0002,FEND_OFF
SB058,TA0005,FEND_OFF
SB058,TA0006,FEND_OFF
SB059,TA0001,FEND_OFF
SB059,TA0005,FEND_OFF
SB059,TA0006,FEND_OFF
SB061,TA0009,FEND_OFF
SB061,TA0040,FEND_OFF
SB069,TA0042,FEND_OFF
SB069,TA0001,FEND_OFF
SB069,TA0006,FEND_OFF
SB069,TA0007,FEND_OFF
SB069,TA0008,FEND_OFF
SB069,TA0009,FEND_OFF
SB069,TA0010,FEND_OFF
SB069,TA0040,FEND_OFF
SB070,TA0043,FEND_OFF
SB070,TA0042,FEND_OFF
SB070,TA0001,FEND_OFF
SB070,TA0003,FEND_OFF
SB070,TA0006,FEND_OFF
SB070,TA0007,FEND_OFF
SB070,TA0008,FEND_OFF
SB070,TA0009,FEND_OFF
SB070,TA0010,FEND_OFF
SB070,TA0040,FEND_OFF
SB074,TA0043,FEND_OFF
SB074,TA0042,FEND_OFF
SB074,TA0001,FEND_OFF
SB074,TA0006,FEND_OFF
SB074,TA0007,FEND_OFF
SB074,TA0009,FEND_OFF
SB074,TA0040,FEND_OFF
SB075,TA0043,FEND_OFF
SB075,TA0042,FEND_OFF
SB075,TA0001,FEND_OFF
SB075,TA0006,FEND_OFF
SB075,TA0040,FEND_OFF
SB080,TA0043,FEND_OFF
SB080,TA0001,FEND_OFF
SB080,TA0002,FEND_OFF
SB080,TA0005,FEND_OFF
SB080,TA0006,FEND_OFF
SB080,TA0007,FEND_OFF
SB080,TA0009,FEND_OFF
SB080,TA0010,FEND_OFF
SB080,TA0040,FEND_OFF
SB081,TA0001,FEND_OFF
SB081,TA0002,FEND_OFF
SB081,TA0005,FEND_OFF
SB081,TA0006,FEND_OFF
SB081,TA0040,FEND_OFF
SB082,TA0001,FEND_OFF
SB082,TA0002,FEND_OFF
SB082,TA0005,FEND_OFF
SB082,TA0006,FEND_OFF
SB082,TA0040,FEND_OFF
SB083,TA0001,FEND_OFF
SB083,TA0002,FEND_OFF
SB083,TA0006,FEND_OFF
SB083,TA0008,FEND_OFF
SB083,TA0040,FEND_OFF
SB087,TA0001,FEND_OFF
SB087,TA0002,FEND_OFF
SB087,TA0003,FEND_OFF
SB087,TA0005,FEND_OFF
SB087,TA0006,FEND_OFF
SB087,TA0008,FEND_OFF
SB087,TA0011,FEND_OFF
SB087,TA0040,FEND_OFF
SB089,TA0042,FEND_OFF
SB089,TA0001,FEND_OFF
SB089,TA0003,FEND_OFF
SB089,TA0004,FEND_OFF
SB089,TA0005,FEND_OFF
SB089,TA0006,FEND_OFF
SB089,TA0008,FEND_OFF
SB089,TA0009,FEND_OFF
SB089,TA0010,FEND_OFF
SB089,TA0040,FEND_OFF
SB091,TA0043,FEND_OFF
SB091,TA0006,FEND_OFF
SB091,TA0009,FEND_OFF
SB091,TA0010,FEND_OFF
SB091,TA0040,FEND_OFF
SB094,TA0042,FEND_OFF
SB094,TA0001,FEND_OFF
SB094,TA0002,FEND_OFF
SB094,TA0003,FEND_OFF
SB094,TA0004,FEND_OFF
SB094,TA0005,FEND_OFF
SB094,TA0006,FEND_OFF
SB094,TA0007,FEND_OFF
SB094,TA0008,FEND_OFF
SB094,TA0009,FEND_OFF
SB094,TA0011,FEND_OFF
SB094,TA0010,FEND_OFF
SB094,TA0040,FEND_OFF
SB105,TA0042,FEND_OFF
SB105,TA0001,FEND_OFF
SB105,TA0003,FEND_OFF
SB105,TA0004,FEND_OFF
SB105,TA0006,FEND_OFF
SB105,TA0008,FEND_OFF
SB105,TA0040,FEND_OFF
SB150,TA0042,FEND_OFF
SB150,TA0001,FEND_OFF
SB150,TA0003,FEND_OFF
SB150,TA0004,FEND_OFF
SB150,TA0005,FEND_OFF
SB150,TA0006,FEND_OFF
SB150,TA0008,FEND_OFF
SB150,TA0009,FEND_OFF
SB150,TA0010,FEND_OFF
SB150,TA0040,FEND_OFF
SB152,TA0042,FEND_OFF
SB152,TA0001,FEND_OFF
SB152,TA0003,FEND_OFF
SB152,TA0004,FEND_OFF
SB152,TA0005,FEND_OFF
SB152,TA0006,FEND_OFF
SB152,TA0007,FEND_OFF
SB152,TA0008,FEND_OFF
SB152,TA0009,FEND_OFF
SB152,TA0010,FEND_OFF
SB152,TA0040,FEND_OFF
SB153,TA0001,FEND_OFF
SB153,TA0002,FEND_OFF
SB153,TA0003,FEND_OFF
SB153,TA0004,FEND_OFF
SB153,TA0005,FEND_OFF
SB153,TA0006,FEND_OFF
SB153,TA0007,FEND_OFF
SB153,TA0008,FEND_OFF
SB153,TA0009,FEND_OFF
SB153,TA0011,FEND_OFF
SB153,TA0010,FEND_OFF
SB153,TA0040,FEND_OFF
SB154,TA0001,FEND_OFF
SB154,TA0002,FEND_OFF
SB154,TA0003,FEND_OFF
SB154,TA0004,FEND_OFF
SB154,TA0005,FEND_OFF
SB154,TA0006,FEND_OFF
SB154,TA0009,FEND_OFF
SB154,TA0011,FEND_OFF
SB154,TA0010,FEND_OFF
SB154,TA0040,FEND_OFF
SB156,TA0001,FEND_OFF
SB156,TA0006,FEND_OFF
SB156,TA0009,FEND_OFF
SB156,TA0010,FEND_OFF
SB156,TA0040,FEND_OFF
SB159,TA0001,FEND_OFF
SB159,TA0002,FEND_OFF
SB159,TA0005,FEND_OFF
SB159,TA0006,FEND_OFF
SB159,TA0040,FEND_OFF
SB163,TA0001,FEND_OFF
SB163,TA0002,FEND_OFF
SB163,TA0005,FEND_OFF
SB163,TA0006,FEND_OFF
SB163,TA0040,FEND_OFF
SB164,TA0001,FEND_OFF
SB164,TA0002,FEND_OFF
SB164,TA0003,FEND_OFF
SB164,TA0004,FEND_OFF
SB164,TA0005,FEND_OFF
SB164,TA0006,FEND_OFF
SB164,TA0007,FEND_OFF
